tier,row,video_id,title,upload_date,gap_codes,official_channel,notes
1,1,g2lp_LiHcJ8,The Key to Hot vs Cold Market Trading,2024-10-23,REGIME,yes,hot/cold spectrum; own P&L as regime clue
1,2,qButx3c0Bk0,Testing a New Strategy for this cold market | March 30 2026,2026-03-30,REGIME,yes,strategy swap in cold market
1,3,Lin4WAwzPNY,Stop Overtrading: How Doing Less Made Me 3x,2026-01-01,RISK;SELECT,yes,trade-count reduction
1,4,qfReXP_lpQE,The Discipline NOT to Trade Low Quality Setups,,SELECT,yes,setup grading
1,5,KzVbXzkoZkA,Ultimate Guide on ADDING to Winners with Scaling (LIVE STREAM),2023-04-04,EXIT;RISK,yes,scale in/out; runner core
1,6,f7Wi_8VGtPs,This is Why Profit Cushion is So Important...,2025-08,RISK,yes,cushion-based sizing; give back half
1,7,5KpKVP6oi0A,Reducing Max Share Size,2024-04-12,RISK;REGIME,yes,size tied to conditions
1,8,-GQjrv7RjGQ,MAX LOSS,2024-11,RISK,yes,daily max loss rules
1,8,8KQmIREGX6E,MAX LOSS RED DAY,,RISK,yes,rule-break post-mortem
1,8,kIZS4bU2Jpo,MAX LOSS RED DAY (mistakes were made),,RISK,yes,rule-break post-mortem
1,9,yDL2mY9C1h8,Reading Level 2 Was HARD Until I Learned This Easy 3-Step Trick,2024-05-04,L2,yes,L2 3-step
1,9,QGoLN96KIDI,3 Secrets for using Level 2 to Predict Breakouts,2020-01-14,L2,yes,big buyers/sellers
1,9,q5DRctM5C-Q,How to use Level 2 (with ZERO experience),2024-03-14,L2,yes,L2 basics
1,10,ZqNYvNkg0_I,The Importance of The Daily Chart,,DAILY,yes,clean daily / resistance
1,10,IqYXorgXN4o,WHAT?! Over 300% in 1 day with a Gap on the Daily Chart from $27.50 to $156,2024-06-24,DAILY,yes,daily gap through resistance
1,10,nhAZOMZCY34,Momentum Day Trading Strategies | Ross Cameron,2016-08-08,DAILY;SELECT,yes,daily levels on momentum stocks
1,11,nM2MxYk6Eo0,Day Trading a "Continuation" Setup,2026-03,CONT,yes,day-2 continuation
1,12,H34--Upw0Do,I'm Looking For The NEXT 1000% Short Squeeze,2025-11-30,FLOAT,yes,short interest / squeeze selection
